loan_id,customer_id,asset_type,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,days_past_due,ltv,unemployment_rate,default_probability,default_flag,lgd,ead,ecl,stage
LN000016,CUST000016,Auto Loan,30710.15,6.25,48,749,1996212.14,30,74.39,4.9,0.02,0,0.25,30710.15,153.55,2
LN000017,CUST000017,Auto Loan,79362.69,11.01,60,571,401144.72,120,88.89,8.02,0.3,0,0.4,79362.69,9523.52,3
LN000018,CUST000018,Mortgage,41377.45,7.82,36,768,711154.74,60,44.53,6.22,0.02,0,0.25,41377.45,206.89,2
LN000019,CUST000019,Mortgage,21760.63,7.79,48,775,2442183.42,0,77.27,7.85,0.05,0,0.25,21760.63,272.01,1
LN000020,CUST000020,Auto Loan,136394.74,6.19,36,820,1809670.76,60,54.86,8.12,0.05,0,0.25,136394.74,1704.93,2
LN000021,CUST000021,Mortgage,37590.85,7.68,120,651,1513260.29,120,94.2,5.66,0.21,0,0.4,37590.85,3157.63,3
LN000022,CUST000022,Auto Loan,62204.82,11.1,120,694,1075696.84,30,46.59,5.15,0.02,0,0.25,62204.82,311.02,2
LN000023,CUST000023,Auto Loan,23723.98,7.54,180,696,349875.25,0,90.58,5.73,0.06,0,0.4,23723.98,569.38,1
LN000024,CUST000024,Auto Loan,46825.39,11.66,36,810,1080555.79,120,45.31,6.92,0.17,0,0.25,46825.39,1990.08,3
LN000025,CUST000025,Mortgage,45151.42,11.62,360,828,1372553.96,120,41.51,5.2,0.17,0,0.25,45151.42,1918.94,3
LN000026,CUST000026,Mortgage,9674.47,6.01,240,563,725783.9,0,54.1,7.65,0.11,0,0.25,9674.47,266.05,1
LN000027,CUST000027,Auto Loan,148849.73,6.24,120,815,639557.78,120,59.98,8.42,0.2,0,0.25,148849.73,7442.49,3
LN000028,CUST000028,Mortgage,89630.52,11.04,48,836,1393937.24,0,77.59,4.69,0.02,0,0.25,89630.52,448.15,1
LN000029,CUST000029,Mortgage,27500.6,7.75,180,690,1568284.53,0,47.9,8.79,0.05,0,0.25,27500.6,343.76,1
LN000030,CUST000030,Auto Loan,16787.86,5.03,240,842,789815.32,0,66.24,6.74,0.02,0,0.25,16787.86,83.94,1
LN000031,CUST000031,Mortgage,46318.33,6.92,60,580,1571626.32,0,52.26,8.27,0.11,0,0.25,46318.33,1273.75,1
LN000032,CUST000032,Auto Loan,38587.68,9.18,36,720,2275764.92,0,91.32,3.62,0.06,0,0.4,38587.68,926.1,1
LN000033,CUST000033,Auto Loan,46581.94,10.59,360,754,1314639.83,0,42.7,4.51,0.02,0,0.25,46581.94,232.91,1
LN000034,CUST000034,Structured Credit,41527.21,5.93,120,840,2179127.88,30,61.36,4.93,0.02,0,0.35,41527.21,290.69,2
LN000035,CUST000035,Structured Credit,51759.78,5.77,360,660,2336360.75,0,77.88,4.82,0.02,0,0.35,51759.78,362.32,1
LN000036,CUST000036,Structured Credit,100018.85,11.45,240,617,457886.57,90,94.79,4.03,0.27,1,0.5,100018.85,13502.54,3
LN000037,CUST000037,Auto Loan,54050.4,10.26,48,732,465576.05,60,92.08,8.21,0.09,0,0.4,54050.4,1945.81,2
LN000038,CUST000038,Auto Loan,17417.68,9.13,36,745,1321099.41,60,93.71,5.51,0.06,0,0.4,17417.68,418.02,2
LN000039,CUST000039,Mortgage,94258.28,10.38,360,675,1573230.5,30,43.77,8.78,0.05,0,0.25,94258.28,1178.23,2
LN000040,CUST000040,Mortgage,114511.46,8.0,48,724,1208237.8,0,90.46,6.5,0.06,0,0.4,114511.46,2748.28,1
LN000041,CUST000041,Auto Loan,329865.32,10.31,180,811,984514.23,60,86.79,3.83,0.06,0,0.4,329865.32,7916.77,2
LN000042,CUST000042,Mortgage,16540.28,7.6,120,835,1692236.76,0,94.15,6.28,0.06,0,0.4,16540.28,396.97,1
LN000043,CUST000043,Auto Loan,43045.69,6.71,120,704,254683.4,60,58.69,8.96,0.05,0,0.25,43045.69,538.07,2
LN000044,CUST000044,Structured Credit,8455.15,10.1,180,618,2428164.88,90,94.71,6.39,0.27,0,0.5,8455.15,1141.45,3
LN000045,CUST000045,Auto Loan,53487.56,7.94,48,657,772177.95,90,64.16,3.01,0.17,1,0.25,53487.56,2273.22,3
LN000046,CUST000046,Mortgage,24742.06,11.87,360,584,2313472.23,0,78.05,8.6,0.11,0,0.25,24742.06,680.41,1
LN000047,CUST000047,Auto Loan,139582.63,7.45,36,593,495283.18,60,65.45,4.41,0.08,0,0.25,139582.63,2791.65,2
LN000048,CUST000048,Mortgage,21115.65,11.45,48,692,785696.16,30,65.66,7.13,0.05,0,0.25,21115.65,263.95,2
LN000049,CUST000049,Mortgage,11131.92,11.53,36,760,778465.83,30,72.8,6.09,0.02,0,0.25,11131.92,55.66,2
LN000050,CUST000050,Auto Loan,26111.09,6.69,240,834,2491344.03,60,61.36,4.95,0.02,0,0.25,26111.09,130.56,2
LN000051,CUST000051,Structured Credit,9110.28,10.59,180,555,260351.23,90,87.56,4.7,0.27,0,0.5,9110.28,1229.89,3
LN000052,CUST000052,Mortgage,61437.13,8.03,60,767,1689185.97,0,78.02,8.57,0.05,0,0.25,61437.13,767.96,1
LN000053,CUST000053,Structured Credit,8556.46,11.42,36,576,2206794.81,120,81.39,8.47,0.3,0,0.5,8556.46,1283.47,3
LN000054,CUST000054,Structured Credit,37046.17,8.15,120,776,1762615.72,0,53.86,6.08,0.02,0,0.35,37046.17,259.32,1
LN000055,CUST000055,Mortgage,8480.56,10.21,240,833,1066151.09,90,98.17,4.55,0.21,0,0.4,8480.56,712.37,3
LN000056,CUST000056,Structured Credit,29021.48,8.27,120,605,2406196.07,60,79.61,3.61,0.08,0,0.35,29021.48,812.6,2
LN000057,CUST000057,Auto Loan,114733.2,6.59,240,654,2260421.7,90,51.83,3.94,0.17,0,0.25,114733.2,4876.16,3
LN000058,CUST000058,Auto Loan,46744.58,6.4,120,567,1226398.57,120,85.03,6.13,0.27,0,0.4,46744.58,5048.41,3
LN000059,CUST000059,Auto Loan,19841.97,7.98,48,754,1539989.11,90,50.42,4.85,0.17,1,0.25,19841.97,843.28,3
LN000060,CUST000060,Auto Loan,35530.88,10.29,360,592,2426918.17,0,43.8,3.25,0.08,0,0.25,35530.88,710.62,1
LN000061,CUST000061,Auto Loan,36776.41,9.24,48,638,2460760.81,0,71.65,5.73,0.08,0,0.25,36776.41,735.53,1
LN000062,CUST000062,Auto Loan,50556.22,9.82,48,623,1262102.37,90,73.21,7.48,0.26,0,0.25,50556.22,3286.15,3
LN000063,CUST000063,Structured Credit,13949.5,6.98,360,706,2156537.56,60,51.34,8.35,0.05,0,0.35,13949.5,244.12,2
LN000064,CUST000064,Auto Loan,54983.98,8.37,240,815,929455.51,90,60.9,6.51,0.17,1,0.25,54983.98,2336.82,3
LN000065,CUST000065,Auto Loan,5469.41,5.31,240,683,1086578.96,0,96.75,7.34,0.09,0,0.4,5469.41,196.9,1
LN000066,CUST000066,Mortgage,23367.02,10.72,360,638,620849.24,0,57.1,5.18,0.08,0,0.25,23367.02,467.34,1
LN000067,CUST000067,Auto Loan,25802.03,11.93,120,785,720665.33,120,49.33,5.98,0.17,0,0.25,25802.03,1096.59,3
LN000068,CUST000068,Structured Credit,56575.36,7.85,36,681,1727964.93,0,99.55,7.38,0.09,0,0.5,56575.36,2545.89,1
LN000069,CUST000069,Auto Loan,36895.38,5.08,240,778,1399258.64,0,58.14,7.37,0.05,0,0.25,36895.38,461.19,1
LN000070,CUST000070,Structured Credit,13576.64,6.19,120,583,770046.69,0,80.82,5.55,0.12,1,0.5,13576.64,814.6,1
LN000071,CUST000071,Mortgage,18224.18,9.57,36,632,1156546.64,0,53.89,6.26,0.08,0,0.25,18224.18,364.48,1
LN000072,CUST000072,Auto Loan,41734.19,9.28,360,681,1089662.78,0,73.01,8.54,0.05,0,0.25,41734.19,521.68,1
LN000073,CUST000073,Auto Loan,34360.15,10.52,48,753,2471560.46,90,63.18,6.79,0.17,1,0.25,34360.15,1460.31,3
LN000074,CUST000074,Structured Credit,24212.23,6.78,240,836,2170523.13,60,97.69,6.86,0.06,0,0.5,24212.23,726.37,2
LN000075,CUST000075,Mortgage,25936.75,10.35,60,807,1122924.25,0,65.97,7.71,0.05,0,0.25,25936.75,324.21,1
LN000076,CUST000076,Mortgage,59119.59,9.82,48,841,2306312.3,60,75.05,3.69,0.02,0,0.25,59119.59,295.6,2
LN000077,CUST000077,Mortgage,25276.12,7.26,180,674,1020929.63,0,96.69,6.14,0.06,0,0.4,25276.12,606.63,1
LN000078,CUST000078,Auto Loan,34143.79,8.82,36,700,1752778.4,90,99.35,8.76,0.24,0,0.4,34143.79,3277.8,3
LN000079,CUST000079,Auto Loan,165869.33,6.03,60,796,2424962.49,60,46.1,5.17,0.02,0,0.25,165869.33,829.35,2
LN000080,CUST000080,Auto Loan,13405.52,8.17,48,724,1128127.44,0,90.06,4.77,0.06,0,0.4,13405.52,321.73,1
LN000081,CUST000081,Structured Credit,9933.92,11.17,240,629,1779741.17,30,62.93,6.61,0.08,0,0.35,9933.92,278.15,2
LN000082,CUST000082,Mortgage,62850.41,7.95,60,656,915828.57,0,75.69,4.33,0.02,0,0.25,62850.41,314.25,1
LN000083,CUST000083,Auto Loan,22582.94,10.88,120,849,849202.71,90,62.5,6.34,0.17,0,0.25,22582.94,959.77,3
LN000084,CUST000084,Auto Loan,29063.37,9.13,36,607,1541852.5,0,64.07,3.93,0.08,0,0.25,29063.37,581.27,1
LN000085,CUST000085,Auto Loan,21019.18,6.34,180,640,2453345.35,0,49.53,6.48,0.08,0,0.25,21019.18,420.38,1
LN000086,CUST000086,Auto Loan,30276.89,9.07,120,684,1269551.16,0,74.37,6.61,0.02,0,0.25,30276.89,151.38,1
LN000087,CUST000087,Mortgage,111187.88,8.54,60,718,2359683.18,120,72.8,5.51,0.17,0,0.25,111187.88,4725.48,3
LN000088,CUST000088,Mortgage,63671.35,7.79,48,671,2307317.92,60,51.36,5.3,0.02,0,0.25,63671.35,318.36,2
LN000089,CUST000089,Structured Credit,66406.91,5.84,36,785,820965.88,30,72.5,4.47,0.02,0,0.35,66406.91,464.85,2
LN000090,CUST000090,Mortgage,13475.67,7.92,240,625,1154093.67,0,98.39,4.99,0.12,1,0.4,13475.67,646.83,1
LN000091,CUST000091,Auto Loan,16223.12,5.51,180,572,1697430.58,0,82.86,5.99,0.12,1,0.4,16223.12,778.71,1
LN000092,CUST000092,Mortgage,4977.31,5.69,48,622,1415603.24,0,68.86,4.49,0.08,0,0.25,4977.31,99.55,1
LN000093,CUST000093,Mortgage,20607.98,7.91,180,637,465906.69,90,94.97,7.7,0.3,1,0.4,20607.98,2472.96,3
LN000094,CUST000094,Mortgage,70947.27,7.14,240,652,2485820.57,60,74.52,7.25,0.05,0,0.25,70947.27,886.84,2
LN000095,CUST000095,Mortgage,52149.12,11.48,360,643,1943471.5,0,48.1,4.62,0.08,0,0.25,52149.12,1042.98,1
LN000096,CUST000096,Mortgage,31099.3,7.63,36,815,1234811.59,90,72.85,3.58,0.17,1,0.25,31099.3,1321.72,3
LN000097,CUST000097,Mortgage,35753.01,10.31,60,802,1640879.24,0,50.86,3.0,0.02,0,0.25,35753.01,178.77,1
LN000098,CUST000098,Mortgage,22421.6,8.71,180,607,447038.84,60,86.05,6.58,0.12,0,0.4,22421.6,1076.24,2
LN000099,CUST000099,Auto Loan,41912.16,9.93,36,558,1364428.72,0,98.03,4.27,0.12,0,0.4,41912.16,2011.78,1
LN000100,CUST000100,Auto Loan,62076.0,6.82,180,562,2344372.94,30,61.65,3.08,0.08,1,0.25,62076.0,1241.52,2
LN000101,CUST000101,Auto Loan,11717.97,11.59,48,680,2267352.16,0,66.1,5.15,0.02,0,0.25,11717.97,58.59,1
LN000102,CUST000102,Mortgage,44790.59,8.71,180,771,1009106.9,0,65.29,8.77,0.05,0,0.25,44790.59,559.88,1
LN000103,CUST000103,Auto Loan,69752.21,10.82,360,702,1445577.69,0,57.12,7.14,0.05,0,0.25,69752.21,871.9,1
LN000104,CUST000104,Mortgage,27158.08,7.56,48,620,1819112.93,0,87.65,8.15,0.15,0,0.4,27158.08,1629.48,1
LN000105,CUST000105,Structured Credit,59307.46,5.7,48,569,1015020.85,0,77.06,3.87,0.08,0,0.35,59307.46,1660.61,1
LN000106,CUST000106,Auto Loan,260473.94,9.72,36,630,395978.24,90,43.84,3.44,0.23,0,0.25,260473.94,14977.25,3
LN000107,CUST000107,Mortgage,33757.57,5.05,120,777,1387243.73,60,90.33,3.07,0.06,0,0.4,33757.57,810.18,2
LN000108,CUST000108,Mortgage,47825.53,8.33,240,568,1603680.41,120,51.23,8.73,0.26,0,0.25,47825.53,3108.66,3
LN000109,CUST000109,Auto Loan,21662.98,6.35,180,714,263143.6,90,98.75,4.8,0.21,0,0.4,21662.98,1819.69,3
LN000110,CUST000110,Auto Loan,41228.12,9.39,60,656,465044.59,60,62.6,5.76,0.02,0,0.25,41228.12,206.14,2
LN000111,CUST000111,Auto Loan,50120.74,11.86,48,763,716403.95,120,76.99,5.37,0.17,0,0.25,50120.74,2130.13,3
LN000112,CUST000112,Auto Loan,41622.23,8.25,120,788,1033117.65,0,44.67,7.38,0.05,0,0.25,41622.23,520.28,1
LN000113,CUST000113,Structured Credit,17786.82,10.72,48,696,1467365.25,0,60.68,4.86,0.02,0,0.35,17786.82,124.51,1
LN000114,CUST000114,Structured Credit,41959.21,8.55,120,730,911146.57,60,88.14,6.21,0.06,0,0.5,41959.21,1258.78,2
LN000115,CUST000115,Mortgage,101066.82,8.47,120,747,871413.58,90,68.63,8.97,0.2,0,0.25,101066.82,5053.34,3
LN000116,CUST000116,Structured Credit,49714.16,11.51,60,836,2206036.02,120,94.28,5.66,0.21,1,0.5,49714.16,5219.99,3
LN000117,CUST000117,Structured Credit,71210.18,11.23,120,602,576363.94,120,74.51,6.31,0.23,0,0.35,71210.18,5732.42,3
LN000118,CUST000118,Auto Loan,30763.73,10.5,60,789,1364785.3,90,95.71,6.02,0.21,0,0.4,30763.73,2584.15,3
LN000119,CUST000119,Structured Credit,61385.58,7.07,36,839,2393855.61,0,98.96,7.82,0.09,0,0.5,61385.58,2762.35,1
LN000120,CUST000120,Mortgage,44156.15,8.82,48,836,1656279.81,0,67.23,4.6,0.02,0,0.25,44156.15,220.78,1
LN000121,CUST000121,Structured Credit,18664.2,6.57,60,737,1863712.33,0,73.91,4.02,0.02,0,0.35,18664.2,130.65,1
LN000122,CUST000122,Structured Credit,45386.26,8.11,240,555,1220283.23,30,90.1,7.52,0.15,0,0.5,45386.26,3403.97,2
LN000123,CUST000123,Auto Loan,18138.87,8.39,360,832,294847.38,60,53.29,5.49,0.02,0,0.25,18138.87,90.69,2
LN000124,CUST000124,Auto Loan,23318.07,10.82,48,812,1703793.33,0,91.7,8.48,0.09,0,0.4,23318.07,839.45,1
LN000125,CUST000125,Auto Loan,41461.88,11.27,360,598,1671829.63,30,75.52,6.86,0.08,0,0.25,41461.88,829.24,2
LN000126,CUST000126,Mortgage,44715.3,7.9,240,749,498462.18,0,83.53,6.39,0.06,0,0.4,44715.3,1073.17,1
LN000127,CUST000127,Structured Credit,15796.4,5.12,180,609,1289859.36,30,44.79,3.42,0.08,0,0.35,15796.4,442.3,2
LN000128,CUST000128,Structured Credit,75946.93,11.03,240,582,2309490.13,90,85.97,7.38,0.3,0,0.5,75946.93,11392.04,3
LN000129,CUST000129,Auto Loan,54198.28,6.22,36,793,711440.87,30,58.65,7.12,0.05,0,0.25,54198.28,677.48,2
LN000130,CUST000130,Mortgage,22174.32,9.35,180,721,1287472.2,0,88.31,6.84,0.06,0,0.4,22174.32,532.18,1
LN000131,CUST000131,Mortgage,12378.18,5.17,180,756,1287482.17,0,70.55,4.61,0.02,0,0.25,12378.18,61.89,1
LN000132,CUST000132,Auto Loan,32812.56,7.8,120,832,2074213.3,120,56.48,8.68,0.2,0,0.25,32812.56,1640.63,3
LN000133,CUST000133,Auto Loan,26578.01,11.9,240,571,2105295.71,0,97.17,4.93,0.12,0,0.4,26578.01,1275.74,1
LN000134,CUST000134,Auto Loan,39308.59,5.7,120,596,1958356.19,0,85.9,3.91,0.12,0,0.4,39308.59,1886.81,1
LN000135,CUST000135,Structured Credit,28164.52,7.97,240,707,1072271.86,30,99.14,8.92,0.09,0,0.5,28164.52,1267.4,2
LN000136,CUST000136,Auto Loan,8908.67,7.15,180,807,412083.08,0,61.87,7.48,0.05,0,0.25,8908.67,111.36,1
LN000137,CUST000137,Mortgage,27671.47,11.34,120,692,1036336.7,60,78.95,5.49,0.02,0,0.25,27671.47,138.36,2
LN000138,CUST000138,Mortgage,29321.22,11.09,360,596,1779530.2,0,76.7,8.62,0.11,0,0.25,29321.22,806.33,1
LN000139,CUST000139,Auto Loan,56588.59,6.66,48,576,1831179.79,0,81.25,3.55,0.12,0,0.4,56588.59,2716.25,1
LN000140,CUST000140,Structured Credit,22275.89,5.57,240,576,2421250.47,30,42.3,3.53,0.08,0,0.35,22275.89,623.72,2
LN000141,CUST000141,Structured Credit,117603.29,9.39,240,694,1270692.77,0,57.5,7.09,0.05,0,0.35,117603.29,2058.06,1
LN000142,CUST000142,Auto Loan,9526.68,7.35,120,624,1672980.06,0,94.56,4.07,0.12,0,0.4,9526.68,457.28,1
LN000143,CUST000143,Mortgage,90927.45,9.7,240,736,1463179.46,120,65.43,8.5,0.2,0,0.25,90927.45,4546.37,3
LN000144,CUST000144,Auto Loan,31038.28,5.22,180,559,588891.76,30,97.64,8.04,0.15,0,0.4,31038.28,1862.3,2
LN000145,CUST000145,Auto Loan,66284.37,5.93,120,670,1287705.56,60,52.81,4.84,0.02,0,0.25,66284.37,331.42,2
LN000146,CUST000146,Auto Loan,38401.85,9.8,120,838,1475879.1,120,99.85,8.33,0.24,0,0.4,38401.85,3686.58,3
LN000147,CUST000147,Mortgage,80635.06,6.49,60,714,2389186.61,30,81.85,3.26,0.06,0,0.4,80635.06,1935.24,2
LN000148,CUST000148,Mortgage,27690.55,11.0,360,813,1074712.87,0,86.58,6.29,0.06,1,0.4,27690.55,664.57,1
LN000149,CUST000149,Auto Loan,16830.8,5.41,360,710,2455222.98,120,63.81,8.61,0.2,0,0.25,16830.8,841.54,3
LN000150,CUST000150,Auto Loan,98159.89,6.51,60,846,1470175.17,0,94.42,8.13,0.09,0,0.4,98159.89,3533.76,1
LN000151,CUST000151,Structured Credit,33542.33,11.99,180,667,795555.8,30,72.73,5.14,0.02,0,0.35,33542.33,234.8,2
LN000152,CUST000152,Auto Loan,42407.94,8.03,48,812,681244.87,0,80.86,4.1,0.06,0,0.4,42407.94,1017.79,1
LN000153,CUST000153,Auto Loan,86191.46,9.92,240,633,568813.56,30,45.69,4.26,0.08,0,0.25,86191.46,1723.83,2
LN000154,CUST000154,Mortgage,17634.83,6.28,36,695,1269098.96,0,77.9,6.09,0.02,0,0.25,17634.83,88.17,1
LN000155,CUST000155,Structured Credit,55096.62,9.27,240,720,299334.47,0,92.74,6.58,0.06,0,0.5,55096.62,1652.9,1
LN000156,CUST000156,Auto Loan,24030.37,10.08,36,563,1251351.89,60,50.7,3.2,0.08,0,0.25,24030.37,480.61,2
LN000157,CUST000157,Mortgage,33106.39,7.2,360,698,2473910.56,0,84.26,5.48,0.06,0,0.4,33106.39,794.55,1
LN000158,CUST000158,Mortgage,38200.17,10.8,180,800,1757740.29,0,41.52,7.98,0.05,0,0.25,38200.17,477.5,1
LN000159,CUST000159,Auto Loan,12706.19,9.22,48,606,1959518.77,0,95.57,5.67,0.12,0,0.4,12706.19,609.9,1
LN000160,CUST000160,Mortgage,21053.33,7.72,48,682,517762.13,120,98.98,4.02,0.21,0,0.4,21053.33,1768.48,3
LN000161,CUST000161,Auto Loan,93503.21,8.9,48,719,1314476.94,90,61.25,8.73,0.2,0,0.25,93503.21,4675.16,3
LN000162,CUST000162,Mortgage,67530.45,9.04,60,651,894001.98,0,46.42,4.6,0.02,0,0.25,67530.45,337.65,1
LN000163,CUST000163,Mortgage,34757.56,6.16,180,655,2261719.44,120,79.51,7.79,0.2,0,0.25,34757.56,1737.88,3
LN000164,CUST000164,Mortgage,43052.97,7.82,36,720,657908.06,120,41.79,4.16,0.17,0,0.25,43052.97,1829.75,3
LN000165,CUST000165,Auto Loan,29555.65,7.4,48,677,1282149.99,60,68.95,5.54,0.02,0,0.25,29555.65,147.78,2
LN000166,CUST000166,Structured Credit,93864.58,7.81,180,799,1573107.37,30,56.31,5.94,0.02,0,0.35,93864.58,657.05,2
LN000167,CUST000167,Auto Loan,31563.39,10.33,240,581,1406592.46,0,68.4,6.0,0.08,0,0.25,31563.39,631.27,1
LN000168,CUST000168,Auto Loan,42714.32,8.38,36,765,2118047.94,90,41.1,6.1,0.17,0,0.25,42714.32,1815.36,3
LN000169,CUST000169,Auto Loan,81001.35,11.58,360,811,770769.64,0,43.1,4.35,0.02,0,0.25,81001.35,405.01,1
LN000170,CUST000170,Mortgage,21074.94,7.06,60,793,1099130.0,30,40.96,6.1,0.02,0,0.25,21074.94,105.37,2
LN000171,CUST000171,Mortgage,108136.81,7.91,120,834,2032189.67,60,77.15,5.89,0.02,0,0.25,108136.81,540.68,2
LN000172,CUST000172,Auto Loan,12440.06,10.51,36,839,1438160.68,0,73.61,4.25,0.02,0,0.25,12440.06,62.2,1
LN000173,CUST000173,Mortgage,113635.3,8.82,360,812,1154764.12,30,53.99,8.93,0.05,0,0.25,113635.3,1420.44,2
LN000174,CUST000174,Auto Loan,27976.69,8.83,360,634,316245.66,120,78.8,8.19,0.26,0,0.25,27976.69,1818.48,3
LN000175,CUST000175,Mortgage,30641.51,5.37,360,594,1945117.2,0,93.05,8.33,0.15,0,0.4,30641.51,1838.49,1
LN000176,CUST000176,Auto Loan,9672.02,7.79,240,749,2437409.68,90,56.64,7.11,0.2,0,0.25,9672.02,483.6,3
LN000177,CUST000177,Mortgage,26413.85,6.9,36,750,1645645.77,120,89.92,3.96,0.21,0,0.4,26413.85,2218.76,3
LN000178,CUST000178,Auto Loan,17538.18,12.0,36,717,2177217.75,0,79.75,6.41,0.02,0,0.25,17538.18,87.69,1
LN000179,CUST000179,Structured Credit,23733.61,7.16,120,789,1412970.42,0,42.03,7.93,0.05,0,0.35,23733.61,415.34,1
LN000180,CUST000180,Auto Loan,32987.45,11.19,48,835,771282.17,0,62.51,3.23,0.02,0,0.25,32987.45,164.94,1
LN000181,CUST000181,Auto Loan,71001.35,9.73,240,739,282494.73,0,70.47,5.98,0.02,0,0.25,71001.35,355.01,1
LN000182,CUST000182,Auto Loan,41995.69,7.39,360,620,1720146.1,90,83.9,5.38,0.27,0,0.4,41995.69,4535.53,3
LN000183,CUST000183,Structured Credit,45043.04,8.8,120,694,1359494.91,90,57.23,4.27,0.17,0,0.35,45043.04,2680.06,3
LN000184,CUST000184,Structured Credit,16867.37,10.88,36,758,2009720.83,0,98.96,5.27,0.06,0,0.5,16867.37,506.02,1
LN000185,CUST000185,Auto Loan,19603.67,11.18,240,757,1813035.44,120,81.07,8.9,0.24,1,0.4,19603.67,1881.95,3
LN000186,CUST000186,Mortgage,127913.24,6.12,60,771,2472892.83,60,62.37,7.34,0.05,0,0.25,127913.24,1598.92,2
LN000187,CUST000187,Structured Credit,21706.33,7.38,36,836,1398203.31,90,45.82,4.8,0.17,0,0.35,21706.33,1291.53,3
LN000188,CUST000188,Mortgage,115768.27,7.35,60,712,1211143.28,60,50.88,6.63,0.02,0,0.25,115768.27,578.84,2
LN000189,CUST000189,Mortgage,30633.74,5.29,180,621,895164.3,90,69.26,4.48,0.23,0,0.25,30633.74,1761.44,3
LN000190,CUST000190,Auto Loan,36373.71,9.19,60,789,1322937.91,30,69.68,6.67,0.02,0,0.25,36373.71,181.87,2
LN000191,CUST000191,Auto Loan,76822.71,10.98,36,676,2213960.83,0,86.06,8.38,0.09,0,0.4,76822.71,2765.62,1
LN000192,CUST000192,Structured Credit,88461.68,7.67,120,634,345489.38,0,83.57,6.34,0.12,0,0.5,88461.68,5307.7,1
LN000193,CUST000193,Structured Credit,33605.04,10.18,36,564,2450275.11,0,52.08,7.4,0.11,0,0.35,33605.04,1293.79,1
LN000194,CUST000194,Mortgage,27673.48,9.39,36,797,2484941.19,0,75.7,5.72,0.02,0,0.25,27673.48,138.37,1
LN000195,CUST000195,Auto Loan,34921.42,7.63,180,832,1595098.1,0,41.24,6.14,0.02,0,0.25,34921.42,174.61,1
LN000196,CUST000196,Auto Loan,46007.99,5.99,360,551,995974.46,60,63.91,7.17,0.11,0,0.25,46007.99,1265.22,2
LN000197,CUST000197,Mortgage,67772.55,9.97,48,623,751860.18,90,85.85,7.87,0.3,1,0.4,67772.55,8132.71,3
LN000198,CUST000198,Structured Credit,36423.19,10.98,36,613,872103.39,30,63.97,6.96,0.08,0,0.35,36423.19,1019.85,2
LN000199,CUST000199,Structured Credit,56006.35,9.8,180,810,362737.21,60,90.14,8.86,0.09,1,0.5,56006.35,2520.29,2
LN000200,CUST000200,Mortgage,114330.86,5.13,120,788,1318999.66,0,98.57,7.92,0.09,0,0.4,114330.86,4115.91,1
LN000201,CUST000201,Mortgage,47425.57,6.51,180,828,378979.61,120,76.43,7.66,0.2,0,0.25,47425.57,2371.28,3
LN000202,CUST000202,Auto Loan,45168.58,5.49,180,750,1866566.98,0,48.7,8.07,0.05,0,0.25,45168.58,564.61,1
LN000203,CUST000203,Auto Loan,12541.05,8.99,60,842,1086841.27,120,62.78,4.69,0.17,1,0.25,12541.05,532.99,3
